@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
205,'2018/02/28 01:18:19:010',2,819.170166,926.357727,3029.756348,0.441092,0.496355,0.36868
206,'2018/02/28 01:18:19:029',2,819.170166,926.357727,3029.756348,0.441092,0.496355,0.36868
207,'2018/02/28 01:18:19:046',2,819.170166,926.357727,3029.756348,0.441092,0.496355,0.36868
208,'2018/02/28 01:18:19:061',2,819.170166,926.357727,3029.756348,0.441092,0.496355,0.36868
209,'2018/02/28 01:18:19:090',2,850.948059,963.520508,3145.616211,0.441092,0.496355,0.36868
210,'2018/02/28 01:18:19:112',2,850.948059,963.520508,3145.616211,0.441092,0.496355,0.36868
211,'2018/02/28 01:18:19:126',2,850.948059,963.520508,3145.616211,0.441092,0.496355,0.36868
212,'2018/02/28 01:18:19:159',2,874.975464,994.092407,3240.634033,0.441092,0.496355,0.36868
213,'2018/02/28 01:18:19:179',2,874.975464,994.092407,3240.634033,0.441092,0.496355,0.36868
214,'2018/02/28 01:18:19:193',2,874.975464,994.092407,3240.634033,0.441092,0.496355,0.36868
215,'2018/02/28 01:18:19:227',2,818.843994,933.589539,3036.368164,0.441092,0.496355,0.36868
216,'2018/02/28 01:18:19:245',2,818.843994,933.589539,3036.368164,0.441092,0.496355,0.36868
217,'2018/02/28 01:18:19:260',2,818.843994,933.589539,3036.368164,0.441092,0.496355,0.36868
218,'2018/02/28 01:18:19:281',2,818.843994,933.589539,3036.368164,0.441092,0.496355,0.36868
219,'2018/02/28 01:18:19:293',2,818.843994,933.589539,3036.368164,0.441092,0.496355,0.36868
220,'2018/02/28 01:18:19:328',2,844.04126,964.567139,3134.310303,0.441092,0.496355,0.36868
221,'2018/02/28 01:18:19:346',2,844.04126,964.567139,3134.310303,0.441092,0.496355,0.36868
222,'2018/02/28 01:18:19:359',2,844.04126,964.567139,3134.310303,0.441092,0.496355,0.36868
223,'2018/02/28 01:18:19:377',2,844.04126,964.567139,3134.310303,0.441092,0.496355,0.36868
224,'2018/02/28 01:18:19:394',2,844.04126,964.567139,3134.310303,0.441092,0.496355,0.36868
225,'2018/02/28 01:19:57:401',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
226,'2018/02/28 01:19:57:431',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
227,'2018/02/28 01:19:57:447',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
228,'2018/02/28 01:19:57:477',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
229,'2018/02/28 01:19:57:510',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
230,'2018/02/28 01:19:57:517',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
231,'2018/02/28 01:19:57:529',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
232,'2018/02/28 01:19:57:559',4,-482.564514,845.197937,3931.247314,0.025355,0.888497,0.151682
